BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,FULL_PAYMENT
810,0,0,0,908,1,0,1500,146,179,8,0
1576,0,0,0,383,6,0,2500,540,353,12,0
3991,264,191,73,0,0,8,6000,6877,1002,12,0
1699,1364,1364,0,0,0,4,1700,1624,924,12,0
5488,419,0,419,625,4,11,6250,1288,2181,12,0
2990,4523,1664,2859,27296,27,33,7000,28233,1107,12,0
656,0,0,0,1474,3,0,7000,910,141,8,0
1809,714,503,211,0,0,8,2250,889,623,10,0
532,792,517,275,0,0,7,6000,1305,176,11,0
5860,562,250,312,0,0,14,6000,1990,2161,12,0
1728,606,606,0,0,0,17,11000,2960,624,12,0
579,320,0,320,0,0,8,1500,1439,190,12,0
1206,0,0,0,38,1,0,1200,29,8243,12,0
6594,389,389,0,4622,7,7,7000,1625,2503,12,0
17,245,40,205,0,0,13,5000,358,122,12,0
82,0,0,0,2985,5,0,9500,117,165,12,0
4,133,28,105,0,0,5,12000,210,100,12,0
42,396,0,396,0,0,12,1200,726,141,12,1
1935,4916,4515,400,294,1,50,9000,4921,595,12,0
135,1248,1248,0,0,0,22,16500,1275,171,12,1
7070,1604,1445,159,5626,23,23,11000,4590,1876,12,0
8181,2258,1319,939,5251,21,60,13500,3022,2075,12,0
4037,45,45,0,104,1,1,4500,1074,969,12,0
6110,0,0,0,2717,14,0,6500,1502,2864,12,0
9381,5100,1148,3952,371,1,46,9000,6409,9827,12,0
1977,1032,227,805,4336,21,17,4000,3056,911,11,0
1321,46,46,0,496,1,1,1800,441,313,12,0
1308,406,406,0,0,0,2,2400,0,,12,0
2329,213,213,0,0,0,3,2400,0,,12,0
1140,0,0,0,121,1,0,1200,152,2906,12,0
1620,739,739,0,0,0,11,6000,417,389,12,0
3506,0,0,0,1714,6,0,4000,0,,12,0
5,79,0,79,0,0,3,7000,218,122,12,1
0,0,0,0,90,1,0,3000,138,,7,0
5,20,20,0,0,0,1,1500,26,61,9,0
23,1346,0,1346,0,0,12,2000,712,55,12,0
3540,2824,1540,1283,0,0,75,5700,9173,2104,12,0
1,390,0,390,0,0,31,4500,0,,12,0
862,0,0,0,920,1,0,4000,2237,215,12,0
2442,808,808,0,960,6,4,4000,533,1027,12,0
409,942,0,942,0,0,12,2500,1098,177,12,0
4986,0,0,0,5439,40,0,8000,1242,1439,12,0
1247,424,178,246,412,2,10,2000,577,498,12,0
6644,4479,2722,1757,7206,21,64,9000,10858,2470,12,0
156,1355,586,769,0,0,34,5500,859,108,12,0
3393,0,0,0,1008,2,0,4200,0,,12,0
5323,2812,857,1955,2510,8,81,8500,1509,1834,12,0
6459,0,0,0,3360,11,0,7000,1278,2760,12,0
175,1509,1252,257,0,0,14,5000,1884,137,12,1
680,1046,668,378,0,0,25,3000,552,208,12,0
224,2310,0,2310,0,0,12,6500,1207,99,12,0
1786,0,0,0,576,10,0,1800,688,2439,12,0
55,495,0,495,0,0,2,7000,1970,147,12,1
2663,0,0,0,509,4,0,3000,932,709,12,0
8505,6724,4100,2624,1687,10,85,17000,1889,2167,12,0
1464,1174,1174,0,0,0,8,9000,0,,12,0
2114,5581,0,5581,0,0,75,8500,3565,630,12,0
2876,0,0,0,999,2,0,3200,1065,1413,12,0
14224,0,0,0,4614,9,0,19000,3067,3406,12,0
2393,12462,12462,0,0,0,217,2800,11629,2001,12,0
57,0,0,0,273,1,0,1200,386,85,8,0
4246,1957,1077,880,0,0,19,5000,1004,1086,12,0
11167,151,151,0,8362,14,1,17000,2606,2894,12,0
69,0,0,0,2800,3,0,13000,0,,12,0
117,907,907,0,274,1,8,5000,0,,12,0
4638,1271,352,920,0,0,33,5000,1906,3572,12,0
24,251,0,251,0,0,7,3000,320,174,12,0
9354,796,796,0,13748,16,1,13000,10665,2601,12,0
231,440,0,440,0,0,22,4000,554,185,12,0
1563,1331,1170,161,0,0,8,2000,1021,710,12,0
2495,5492,1391,4101,0,0,52,17000,1015,616,12,0
706,898,715,183,586,3,18,1200,972,185,12,0
19043,22010,9449,12561,0,0,216,18000,23019,18621,12,0
2235,721,721,0,723,1,12,2500,1061,689,12,0
947,197,149,48,0,0,5,1000,492,509,12,0
764,0,0,0,1307,3,0,7500,1567,173,12,0
5348,0,0,0,4002,9,0,7000,0,,12,0
10598,2084,1300,784,0,0,13,21500,3220,3068,12,0
2164,5779,3437,2343,0,0,97,6500,4416,546,12,0
3057,1025,1025,0,0,0,2,7500,699,820,12,0
19,690,0,690,0,0,10,10000,747,,12,0
265,29,29,0,384,1,1,9000,1236,194,12,0
1108,945,165,780,0,0,9,1500,1955,993,12,0
907,1039,80,959,103,1,11,13500,1855,468,12,0
7680,4060,0,4060,555,7,14,7000,3686,12855,12,0
1524,4075,3322,753,0,0,31,6500,2254,329,12,0
49,870,0,870,0,0,24,8000,836,193,12,1
13673,9792,3960,5832,2444,26,216,20000,11717,6042,12,0
106,2463,790,1674,0,0,46,4000,2574,95,12,1
120,1859,0,1859,0,0,4,20000,3104,289,12,0
5837,3488,3262,226,3303,15,46,7900,0,,12,0
1735,0,0,0,66,2,0,1800,363,2828,12,0
2766,7283,5087,2196,0,0,77,11000,14373,1058,12,0
1046,295,295,0,94,1,2,1200,439,363,12,0
2737,0,0,0,430,5,0,3000,779,722,12,0
4015,0,0,0,988,1,0,8500,1009,1177,12,0
872,648,115,533,0,0,27,1200,1111,208,12,0
1610,557,526,32,0,0,5,4000,423,616,12,0
115,470,0,470,0,0,6,1000,367,86,6,1
5801,0,0,0,370,1,0,6500,1346,1973,12,0
823,132,0,132,0,0,12,8000,2916,243,12,0
596,5078,4331,748,1424,1,42,15000,4757,242,12,1
1128,925,0,925,0,0,12,1000,1203,1747,12,0
349,1975,1394,582,0,0,17,4000,1795,167,12,0
841,0,0,0,3672,5,0,4000,3621,193,9,0
976,10221,7141,3080,1621,18,130,10500,10693,348,12,1
23,300,0,300,0,0,3,12500,292,43,12,0
2188,0,0,0,3905,9,0,3000,1424,461,7,0
11972,5715,4686,1029,1626,3,90,14000,4640,3192,12,0
1608,0,0,0,206,2,0,1800,471,409,12,0
1873,767,767,0,1017,5,12,2300,0,,12,0
2933,0,0,0,2040,13,0,3000,2432,1740,12,0
337,3536,1615,1921,0,0,44,20000,2814,186,12,1
36,256,0,256,0,0,5,5300,831,189,12,0
903,2697,151,2547,0,0,39,2500,1686,303,12,0
0,23,0,23,0,0,1,5000,0,,12,0
2881,117,0,117,17661,28,3,4500,17302,932,12,0
5,197,173,24,0,0,3,12000,0,,12,0
117,654,493,161,0,0,15,10000,442,137,12,0
169,2009,0,2009,0,0,22,1200,2613,198,12,0
1706,148,0,148,1657,4,2,6000,1186,375,12,0
875,517,159,357,0,0,30,900,580,694,12,0
861,970,970,0,446,1,6,2400,0,,12,0
966,311,311,0,956,1,15,1500,278,286,12,0
39,280,280,0,0,0,3,6150,254,56,12,0
190,66,66,0,0,0,2,6000,0,,12,0
40,79,79,0,1632,1,1,4000,1648,25,12,0
5463,1453,0,1453,0,0,18,16500,1382,1755,12,0
3984,757,757,0,0,0,15,4000,1111,1431,12,0
5589,3507,604,2904,0,0,34,11500,1413,1825,12,0
281,3164,57,3107,0,0,36,8000,2423,187,12,1
130,1343,1083,260,0,0,33,15000,1044,182,12,1
1974,873,873,0,0,0,5,8000,542,763,12,0
5699,48,0,48,2040,14,2,6000,2977,3463,12,0
43,370,370,0,0,0,2,23000,1212,69,12,0
567,406,314,92,1045,6,12,2000,1250,313,12,0
25,262,0,262,0,0,10,4000,377,170,12,1
8350,1989,843,1146,894,2,8,14000,4721,2557,12,0
4560,10849,8208,2641,0,0,123,7500,9424,2925,12,0
3,43,0,43,0,0,1,4000,130,30,12,0
1571,645,645,0,1665,9,2,1800,2591,808,12,0
7202,987,862,125,5469,16,9,10500,1942,2392,12,0
6468,1464,979,485,3948,10,23,11500,1659,1887,12,0
64,927,600,327,0,0,4,5000,1260,59,12,0
5636,394,154,240,5933,24,15,10000,1920,1732,12,0
3671,966,876,89,0,0,9,7500,1035,941,12,0
2458,0,0,0,102,1,0,7500,4544,647,12,0
768,336,336,0,0,0,9,6000,948,217,12,0
76,540,0,540,0,0,3,4000,549,49,12,0
2,36,0,36,0,0,2,7500,0,,12,0
1122,879,103,775,198,1,39,1500,543,471,12,0
8,144,67,77,0,0,7,11500,135,76,12,0
2053,494,441,53,1738,16,10,2000,2795,2661,12,0
2422,4491,3456,1034,189,1,52,8500,5764,583,12,0
9048,11189,6099,5089,0,0,151,10000,11994,8517,12,0
3061,1829,1793,37,0,0,17,7000,971,986,12,0
42,76,76,0,0,0,1,2700,69,99,7,0
5432,1824,1599,226,0,0,23,14500,1508,1371,12,0
6571,9325,9325,0,0,0,5,8500,11037,1825,12,0
28,100,100,0,0,0,1,4000,126,105,12,0
4179,1432,431,1001,0,0,39,4000,2385,3869,12,0
3019,2260,1356,904,0,0,25,8500,2188,739,12,0
1,0,0,0,467,1,0,1200,1069,26,9,1
2723,10410,1159,9252,0,0,41,19500,9696,727,12,0
1071,991,482,509,0,0,13,1400,505,438,12,0
280,3035,0,3035,0,0,12,2900,2929,2733,12,0
1256,1039,1039,0,1093,1,21,5700,1215,422,12,0
2230,46,46,0,0,0,1,2500,543,628,12,0
2363,2642,1386,1256,264,1,41,3000,1840,1075,12,0
4014,1190,1190,0,0,0,12,8000,0,,12,0
7623,300,0,300,2801,3,6,12000,1976,1775,12,0
3422,127,43,84,154,1,5,10500,2515,976,12,0
49,247,0,247,182,3,7,5500,410,70,12,0
1875,301,83,218,0,0,10,1950,587,1089,12,0
3216,1112,1112,0,7616,4,4,7200,0,,12,0
237,2410,1671,740,0,0,15,4000,3774,170,12,1
1273,5350,4783,567,0,0,101,8000,5826,318,12,0
558,630,630,0,0,0,1,5500,426,213,11,0
2814,3197,2080,1117,0,0,49,3000,3574,1329,12,0
8,133,0,133,0,0,3,3000,131,41,12,0
436,1646,1023,623,0,0,33,12000,1056,237,12,0
6,80,0,80,0,0,12,1500,76,76,12,0
9612,320,0,320,13440,12,12,12000,10994,2502,12,0
7939,3678,3544,134,0,0,98,12500,2658,1912,12,0
2344,1042,1042,0,4004,6,14,4000,3034,717,12,0
996,676,0,676,0,0,12,1000,1852,1382,12,0
20,193,0,193,0,0,5,2000,220,72,12,0
186,1703,1703,0,0,0,13,11500,1449,183,12,1
5335,0,0,0,469,2,0,6000,1350,1250,12,0
22,234,0,234,0,0,4,1500,480,150,11,1
6,30,30,0,0,0,1,10000,77,76,12,0
1049,1323,1097,226,774,6,28,11000,802,230,12,0
5570,1608,0,1608,0,0,84,13500,1583,2217,12,0
1669,0,0,0,1717,5,0,1800,2167,568,12,0
2225,3183,3183,0,0,0,2,9000,3823,629,12,0
2904,3014,1340,1674,104,1,93,4500,1350,656,12,0
2041,7323,4945,2379,191,1,81,3000,3792,1738,12,0
7756,8534,4073,4461,7540,12,72,10000,4758,7257,6,0
614,409,75,334,0,0,10,9000,2161,312,12,0
8097,4000,200,3800,0,0,14,7500,5624,9953,12,0
1082,2980,658,2323,0,0,50,6000,1117,289,12,0
2735,561,561,0,0,0,11,7500,718,670,12,0
81,570,570,0,0,0,3,9500,634,92,12,0
2555,6187,6099,88,1899,1,38,10950,11199,608,12,0
536,4551,3017,1534,438,1,99,8500,4317,209,12,1
3905,151,151,0,1659,5,2,7500,991,990,12,0
156,1385,1005,380,0,0,21,14000,1280,193,12,1
5131,32540,26547,5992,0,0,98,11500,26652,1971,12,0
5266,410,45,366,15453,13,21,16500,12005,1056,12,0
3,48,48,0,0,0,1,1500,295,86,12,0
1873,127,127,0,181,1,4,2100,484,524,12,0
32,381,381,0,0,0,1,5700,0,,12,0
1473,414,0,414,0,0,9,10500,5864,570,12,1
1505,2010,630,1380,1189,1,14,8500,860,480,12,0
7645,4693,4333,361,0,0,12,13500,4787,1741,12,0
1129,499,0,499,72,1,12,1000,830,1623,12,0
669,224,148,76,0,0,9,9500,568,272,12,0
2302,2857,923,1934,0,0,62,2500,2914,2174,12,0
273,0,0,0,682,2,0,3000,2756,145,12,0
4246,0,0,0,9270,16,0,7000,6011,1793,12,0
2421,0,0,0,567,2,0,3000,872,609,12,0
2935,410,352,58,1876,4,12,5000,580,1115,12,0
83,843,843,0,0,0,17,6500,1024,123,12,1
5470,0,0,0,513,3,0,6000,1363,2019,12,0
280,2236,759,1478,0,0,34,10000,1987,234,12,1
5791,465,399,65,2517,6,10,6000,1516,2093,12,0
3606,1779,1779,0,0,0,2,5000,856,761,12,0
3992,0,0,0,349,9,0,4000,1058,1230,12,0
42,456,0,456,0,0,14,6000,371,163,12,0
635,5759,2252,3506,0,0,48,2900,7944,197,12,1
1521,246,246,0,2793,3,2,6000,2262,388,12,0
5547,0,0,0,3299,2,0,12000,1786,1352,12,0
2503,734,734,0,0,0,13,3000,1620,858,12,0
191,1641,1641,0,381,1,15,500,1584,137,12,1
3622,675,675,0,1685,8,12,4000,1139,1403,12,0
2762,2702,1526,1176,0,0,27,11000,7597,1013,12,0
4339,0,0,0,1818,4,0,8000,8020,964,12,0
389,1579,1462,117,0,0,15,2700,452,200,12,0
9261,0,0,0,8603,10,0,11000,1933,2577,12,0
208,2161,452,1710,0,0,41,4500,2060,165,12,1
169,1482,446,1036,0,0,26,6000,1290,174,12,1
134,1446,544,902,0,0,16,3500,1364,186,12,1
1613,0,0,0,1606,3,0,4500,312,648,11,0
567,397,304,93,0,0,12,2100,0,,12,0
53,498,459,39,0,0,14,15000,612,163,12,1
1330,2009,1297,712,1764,10,36,2500,2716,956,12,0
516,5359,2400,2959,0,0,60,6000,0,,12,0
927,0,0,0,403,5,0,1000,720,340,12,0
1873,0,0,0,3395,3,0,5500,1152,627,12,0
185,0,0,0,842,7,0,1000,118,138,11,0
4824,0,0,0,6481,4,0,7000,864,1149,7,0
994,126,126,0,0,0,10,1950,314,417,12,0
40,225,0,225,0,0,12,1500,326,286,12,0
0,735,159,576,0,0,16,6000,1159,,12,0
4732,15,0,15,2173,11,1,5700,1289,1172,12,0
9207,875,350,525,4654,9,16,12500,2055,2199,12,0
6719,0,0,0,2443,7,0,7500,1493,2489,12,0
2233,445,445,0,0,0,4,8000,1043,580,12,0
1868,0,0,0,3265,9,0,4500,476,402,12,0
58,689,0,689,0,0,24,1500,454,148,12,0
4194,2007,421,1586,0,0,26,21000,19714,1479,12,0
2460,678,678,0,927,4,12,2500,1926,1933,12,0
851,0,0,0,1701,7,1,1000,1084,367,12,0
353,3086,3033,53,0,0,21,8500,2691,193,12,1
2669,0,0,0,142,2,0,3000,643,1122,12,0
92,1080,1080,0,0,0,12,6000,1077,169,12,1
707,2721,2417,304,0,0,32,6500,4953,281,12,0
361,3096,1384,1712,0,0,32,14000,4004,197,12,1
2324,0,0,0,1601,13,0,2300,2148,2078,11,0
2922,71,0,71,3595,9,3,9500,9227,797,12,0
98,65,0,65,0,0,2,1200,719,54,12,0
498,4787,4398,389,0,0,61,9000,3806,163,12,1
17,174,0,174,0,0,5,2500,347,149,12,1
3356,243,0,243,0,0,12,13500,6084,891,12,0
908,217,217,0,1012,5,3,3200,222,300,12,0
1132,2246,2246,0,14048,20,8,6000,32049,407,12,1
1255,362,362,0,199,1,2,1500,536,433,12,0
80,330,330,0,0,0,1,1800,345,85,10,0
261,2854,1798,1056,0,0,51,9500,2437,176,12,1
17,390,90,300,0,0,7,2000,302,75,12,0
1898,422,422,0,0,0,12,5500,2962,440,12,0
1032,1006,465,541,0,0,33,3000,1866,237,12,0
3537,2133,959,1174,5340,20,74,11000,8251,834,12,0
22,285,0,285,0,0,16,5000,344,156,12,1
4212,0,0,0,456,1,0,10500,1288,1164,12,0
1733,3244,2481,763,0,0,29,11500,5674,564,12,0
8939,2490,905,1585,5310,11,8,9500,3957,4952,12,0
37,1098,1098,0,0,0,1,4800,0,,12,0
42,636,636,0,0,0,5,8500,918,57,12,0
1937,3019,1703,1316,0,0,99,5000,3910,444,12,0
100,1223,203,1020,0,0,16,19500,1142,186,12,1
5136,110,0,110,6552,17,4,6000,1717,2463,12,0
215,0,0,0,1192,1,0,3000,2299,214,12,0
1543,0,0,0,36,1,0,1800,549,529,12,0
602,984,604,380,0,0,15,2400,389,219,12,0
1261,0,0,0,474,3,0,1500,867,354,12,0
85,423,287,136,0,0,9,11000,296,134,8,0
1904,6080,4720,1360,10227,22,31,7300,18552,762,12,0
813,439,439,0,728,8,2,1200,238,266,12,0
1279,1207,0,1207,0,0,59,1200,1283,1301,12,0
238,259,259,0,0,0,1,2300,2681,2503,12,0
5748,1628,0,1628,0,0,49,5500,2508,7490,12,0
7761,0,0,0,3423,10,0,8000,2845,2460,12,0
6388,0,0,0,3769,3,0,8000,10973,2385,12,0
426,5750,5440,310,0,0,50,12000,5712,203,12,1
8807,1491,0,1491,2813,4,25,9000,2117,3599,12,0
283,0,0,0,2333,1,0,3000,0,,12,0
1128,5069,3530,1539,0,0,76,4500,3905,374,12,0
2046,1067,0,1067,0,0,30,2000,2022,3073,12,0
9,64,64,0,0,0,2,7000,177,76,12,0
11279,6856,2763,4093,0,0,39,18500,4868,2862,12,0
143,1631,0,1631,0,0,7,2500,2551,157,12,1
241,181,181,0,0,0,6,1400,803,220,12,0
1529,0,0,0,173,2,0,1600,354,559,12,0
12475,137,0,137,515,2,2,14000,3519,3431,12,0
566,0,0,0,188,1,0,2000,1178,190,12,0
1078,343,343,0,1610,8,4,1500,930,3246,12,0
2,17,17,0,0,0,1,6000,58,67,12,0
507,5708,4585,1123,0,0,47,4000,5590,232,12,1
817,42,42,0,3968,5,1,6000,362,645,10,0
1527,47,47,0,0,0,1,1800,338,643,12,0
7957,0,0,0,4910,4,0,9000,677,27631,12,0
79,699,0,699,0,0,24,2500,698,184,12,1
498,245,0,245,0,0,7,4000,329,165,12,0
682,98,98,0,0,0,2,4000,192,221,12,0
1535,857,857,0,0,0,13,6550,3240,412,12,0
1509,2747,1247,1500,246,1,4,5000,4730,482,12,0
11209,11147,1137,10010,2729,8,126,11000,7933,17495,12,0
201,600,0,600,0,0,6,1000,249,185,12,0
2502,0,0,0,2369,2,0,10000,541,725,12,0
4544,255,5,250,0,0,11,8500,1703,1122,12,0
918,1222,1180,42,1079,7,2,1200,1421,106,6,0
5067,0,0,0,1975,6,0,13000,1336,1607,12,0
2259,781,200,581,1228,6,22,3500,664,484,12,0
438,1532,223,1309,0,0,14,5000,1834,213,12,0
2025,778,0,778,0,0,28,2000,1411,1431,12,0
3771,964,260,704,5140,24,8,6000,566,1241,8,0
141,1667,1063,604,0,0,38,13000,1669,209,12,0
5524,0,0,0,4087,4,0,8000,0,,12,0
3299,1089,518,570,0,0,6,9000,6863,994,12,0
151,649,330,319,0,0,5,2500,0,,12,0
1875,0,0,0,120,1,0,2100,445,671,12,0
3025,0,0,0,2171,10,0,4500,4227,692,12,0
155,1898,98,1800,0,0,5,13500,5563,249,12,1
1322,0,0,0,76,1,0,6200,802,291,11,0
62,1263,280,983,0,0,25,9500,1356,180,12,0
17,200,0,200,0,0,2,1200,0,,8,0
4664,340,340,0,3510,8,1,6000,2162,2010,12,0
318,1278,0,1278,0,0,20,7000,553,173,12,0
682,4117,290,3827,0,0,229,6000,4562,200,12,0
9335,226,226,0,0,0,5,15000,1885,4980,12,0
6405,3971,2267,1704,0,0,64,7500,3879,1869,12,0
133,1347,1028,319,0,0,14,8000,1369,99,12,0
1404,1051,68,983,4084,4,24,5000,4674,983,12,0
470,1365,65,1300,285,2,7,2000,1849,263,12,0
1452,0,0,0,115,3,0,1500,332,480,12,0
3737,0,0,0,3017,4,0,4500,0,,12,0
6033,7553,2644,4910,0,0,85,13500,5377,1365,12,0
1693,570,0,570,2817,7,20,9000,6124,363,12,0
3534,566,431,135,3889,2,17,4000,1299,859,12,0
655,0,0,0,2820,3,0,8000,423,269,12,0
1649,0,0,0,40,2,0,1800,358,631,11,0
6823,137,137,0,4815,16,1,10000,1875,1716,12,0
8647,0,0,0,5105,14,0,10000,2053,1886,12,0
5056,0,0,0,3436,1,0,9000,6918,1035,11,0
4246,333,0,333,6650,24,25,5000,5811,1284,12,0
542,1378,1378,0,0,0,5,2500,182,201,12,0
4855,0,0,0,1886,2,0,6000,2997,1856,12,0
982,0,0,0,1462,2,0,1500,2009,278,12,0
7058,361,361,0,6518,15,2,8000,5148,2610,12,0
4264,223,0,223,249,3,11,4500,1017,1226,12,0
4503,1635,1376,259,95,1,38,13000,1094,1194,12,0
969,0,0,0,340,1,0,1200,592,205,12,0
4479,759,759,0,2493,6,12,6000,995,1384,12,0
38,243,243,0,0,0,2,1800,546,135,12,0
7387,0,0,0,10714,14,0,10500,7567,1943,10,0
1266,0,0,0,2821,3,0,2500,1370,374,12,0
599,519,0,519,0,0,9,4500,621,210,11,0
3144,3056,3056,0,0,0,26,4500,2198,784,12,0
5581,2470,458,2013,1653,1,19,9500,3340,3025,12,0
577,1672,480,1192,0,0,48,1800,1022,180,12,0
52,903,903,0,0,0,6,15000,539,41,12,0
1037,0,0,0,194,1,0,1200,275,327,12,0
21,230,54,176,0,0,7,3150,423,157,12,1
1535,1476,1476,0,0,0,23,2500,1494,383,12,0
4994,2507,2507,0,0,0,30,8500,1230,1647,12,0
4700,2570,492,2078,125,2,40,4500,3260,5620,12,0
9601,238,0,238,4809,8,5,15000,1195,1206,6,0
1208,1342,1038,304,1738,2,27,4000,289,312,8,0
87,786,186,600,0,0,7,7500,881,97,11,1
123,1451,0,1451,0,0,20,6000,1583,138,12,0
395,1239,752,487,0,0,14,1500,401,178,12,0
1715,97,35,62,19,1,7,1800,452,412,12,0
1492,4106,2688,1418,735,1,50,12000,9678,607,12,1
637,2022,1892,130,0,0,19,6000,939,301,12,0
224,3654,291,3363,0,0,32,2500,3301,180,12,0
1123,884,458,426,0,0,26,3000,632,568,12,0
805,796,167,628,418,1,20,1700,1804,261,12,0
869,0,0,0,279,1,0,1200,541,286,12,0
4458,0,0,0,2807,18,0,7500,1089,1190,12,0
2070,1383,1078,305,0,0,33,2400,1580,467,12,0
52,566,0,566,101,1,14,8500,2769,200,12,0
6427,4463,2816,1646,4600,11,103,11800,1793,3101,12,0
207,1727,1727,0,0,0,4,6000,4804,129,12,0
5811,217,217,0,12377,16,2,9000,10428,1599,12,0
3873,0,0,0,1484,8,0,4000,1067,911,12,0
2597,1749,518,1230,0,0,31,6500,2497,1585,12,0
1481,0,0,0,149,1,0,1800,586,495,12,0
1136,51,0,51,0,0,4,1200,321,385,12,0
3431,378,0,378,0,0,4,11300,4316,4484,12,0
4103,1483,1085,398,1993,3,30,5000,1357,1920,12,0
151,6408,3725,2682,0,0,44,14500,3484,109,12,0
3171,0,0,0,1161,2,0,3500,547,1111,11,0
911,70,70,0,0,0,1,8500,566,218,12,0
46,450,0,450,0,0,8,7000,1023,128,12,1
457,3355,2305,1050,0,0,27,6500,2088,208,12,0
198,0,0,0,14372,3,0,10000,14481,19,12,0
474,0,0,0,818,12,0,3000,142,164,12,0
286,3220,2941,279,0,0,24,15000,827,212,12,1
204,6559,6559,0,0,0,74,7000,5873,170,12,1
3690,0,0,0,1329,11,0,4000,1006,1820,12,0
327,4305,2906,1399,0,0,38,9500,4030,198,12,1
6856,262,262,0,3054,13,5,13000,1629,1998,12,0
156,1627,829,798,0,0,17,13000,1924,124,12,1
4263,3523,1482,2041,2486,6,25,6000,1166,1521,12,0
10250,0,0,0,2438,9,0,18000,2662,2539,12,0
813,8194,7280,914,0,0,121,6000,7070,216,12,1
912,1605,1527,78,1302,2,11,4500,191,308,12,0
3563,710,610,100,779,2,16,7000,827,817,12,0
12478,174,174,0,3269,21,3,14000,3251,3872,12,0
2061,0,0,0,554,3,0,4500,553,586,12,0
1556,0,0,0,655,16,0,1700,1077,1207,12,0
126,913,0,913,0,0,5,7500,1718,140,12,1
