Satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,Male,Loyal Customer,36,Personal Travel,Eco,1998,1,0,1,2,5,1,5,5,4,5,5,1,5,5,32,12
0,Male,Loyal Customer,29,Personal Travel,Eco,2172,1,0,1,2,4,1,4,4,2,2,3,3,5,4,0,0
0,Male,Loyal Customer,35,Personal Travel,Eco Plus,2095,1,0,1,2,3,1,1,3,4,2,5,4,5,3,0,0
0,Male,Loyal Customer,42,Personal Travel,Eco,1530,1,0,1,2,1,1,1,1,3,5,5,3,5,1,0,0
0,Male,Loyal Customer,46,Personal Travel,Eco,1672,1,0,1,2,2,1,2,2,4,3,5,3,4,2,0,18
0,Male,Loyal Customer,68,Personal Travel,Eco,2226,1,0,1,2,2,1,2,2,4,1,4,2,1,2,0,1
0,Male,Loyal Customer,61,Personal Travel,Eco,1856,1,0,1,2,4,1,4,4,4,3,4,4,4,4,0,0
0,Male,Loyal Customer,26,Personal Travel,Eco,1705,1,0,1,2,4,1,5,4,5,4,5,4,4,4,17,10
0,Male,Loyal Customer,20,Personal Travel,Eco,1908,1,0,1,2,1,5,5,5,2,5,5,5,3,5,244,236
0,Male,Loyal Customer,58,Personal Travel,Eco,1657,1,0,1,2,1,1,1,1,4,4,5,3,5,1,0,0
0,Male,Loyal Customer,64,Personal Travel,Eco,1206,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9
0,Male,Loyal Customer,9,Personal Travel,Eco,1713,1,0,1,2,5,1,5,5,3,1,5,5,3,5,9,14
0,Male,Loyal Customer,69,Personal Travel,Eco,3863,1,0,1,3,1,1,1,1,4,2,4,3,5,1,2,0
0,Male,Loyal Customer,48,Personal Travel,Eco,2905,1,0,1,3,5,1,5,5,5,5,4,4,4,5,4,0
0,Male,Loyal Customer,54,Personal Travel,Eco Plus,2896,1,0,1,3,4,1,4,4,1,5,2,4,4,4,0,0
0,Male,Loyal Customer,19,Personal Travel,Eco,2897,1,0,1,3,1,1,1,1,2,3,4,2,4,1,1,0
0,Male,Loyal Customer,61,Personal Travel,Eco,2998,1,0,1,3,2,1,2,2,4,4,4,3,4,2,9,1
0,Male,Loyal Customer,63,Personal Travel,Eco,2843,1,0,1,3,4,1,4,4,3,4,5,4,4,4,0,7
0,Male,Loyal Customer,59,Personal Travel,Eco,2804,1,0,1,3,4,1,4,4,4,2,5,3,4,4,0,0
0,Male,Loyal Customer,67,Personal Travel,Eco,2955,1,0,1,3,4,1,4,4,5,2,5,3,5,4,0,0
0,Male,Loyal Customer,33,Personal Travel,Eco,2353,1,0,1,3,5,1,5,5,5,2,5,5,4,5,122,112
0,Male,Loyal Customer,19,Personal Travel,Eco,2407,1,0,1,3,4,1,4,4,3,4,4,3,5,4,57,65
0,Male,Loyal Customer,39,Personal Travel,Eco,2148,1,0,1,3,1,1,2,1,4,5,5,5,5,1,0,0
0,Male,Loyal Customer,59,Personal Travel,Eco Plus,2782,1,0,1,3,1,4,3,2,5,3,3,3,2,3,293,302
0,Male,Loyal Customer,57,Personal Travel,Eco,2287,1,0,1,3,1,1,1,1,1,1,5,2,5,1,44,34
0,Male,Loyal Customer,44,Personal Travel,Eco,1825,1,0,1,3,2,1,1,2,3,1,3,3,2,2,0,0
0,Male,Loyal Customer,25,Personal Travel,Eco,1814,1,0,1,3,4,1,4,4,1,2,3,5,1,4,122,124
0,Male,Loyal Customer,67,Personal Travel,Eco,1815,1,0,1,3,3,1,3,3,5,4,5,1,3,3,0,0
0,Male,Loyal Customer,46,Personal Travel,Business,465,1,0,1,3,4,5,4,2,2,1,2,5,2,5,0,0
0,Female,Loyal Customer,38,Personal Travel,Eco,2371,1,0,1,3,1,4,4,3,2,5,5,4,5,4,184,195
0,Male,Loyal Customer,56,Personal Travel,Eco,1980,1,0,1,3,5,1,5,5,3,5,5,5,4,5,12,9
0,Male,Loyal Customer,33,Personal Travel,Eco,1311,1,0,1,3,4,1,4,4,1,1,2,5,1,4,0,2
0,Male,Loyal Customer,59,Personal Travel,Business,315,1,0,1,3,5,4,4,5,5,1,5,4,5,3,0,0
0,Male,Loyal Customer,44,Personal Travel,Eco,2056,1,0,1,3,1,1,5,3,5,4,4,5,3,5,186,175
0,Male,Loyal Customer,31,Personal Travel,Eco Plus,1875,1,0,1,3,1,4,5,3,4,4,4,5,3,5,145,136
0,Male,Loyal Customer,48,Personal Travel,Eco,1996,1,0,1,3,4,1,4,4,4,2,5,3,5,4,0,0
0,Male,Loyal Customer,11,Personal Travel,Eco,1829,1,0,1,3,2,1,2,2,4,4,5,5,5,2,0,37
0,Male,Loyal Customer,31,Personal Travel,Eco Plus,1096,1,0,1,3,4,1,4,4,5,3,5,4,4,4,101,97
0,Female,Loyal Customer,33,Personal Travel,Eco,2112,1,0,1,3,1,1,1,3,1,5,3,1,3,1,165,179
0,Male,Loyal Customer,56,Personal Travel,Business,57,1,0,1,3,4,4,5,3,3,1,3,3,3,4,5,2
0,Male,Loyal Customer,15,Personal Travel,Eco,1696,1,0,1,3,5,1,2,5,4,2,5,3,5,5,0,0
0,Male,Loyal Customer,34,Personal Travel,Eco,3710,1,0,1,4,4,1,4,4,2,5,3,3,3,4,0,0
0,Male,Loyal Customer,31,Personal Travel,Eco,3411,1,0,1,4,2,1,2,2,4,1,4,5,5,2,2,0
0,Male,Loyal Customer,55,Personal Travel,Business,2439,1,0,1,4,2,5,4,2,2,1,2,3,2,3,60,106
0,Male,Loyal Customer,22,Personal Travel,Eco,3357,1,0,1,4,2,1,2,2,2,4,3,1,3,2,68,78
0,Male,Loyal Customer,9,Personal Travel,Eco,2751,1,0,1,4,5,1,5,5,4,4,5,4,5,5,0,0
0,Male,Loyal Customer,41,Personal Travel,Eco,2773,1,0,1,4,2,1,2,2,2,3,5,2,4,2,0,0
0,Male,Loyal Customer,56,Personal Travel,Eco,2355,1,0,1,4,2,1,4,2,5,4,5,5,4,2,0,0
0,Male,Loyal Customer,40,Personal Travel,Eco,2248,1,0,1,4,5,1,4,5,3,5,4,2,2,5,0,3
0,Male,Loyal Customer,63,Personal Travel,Eco,2612,1,0,1,4,5,1,5,5,4,2,5,3,4,5,1,0
0,Male,Loyal Customer,15,Personal Travel,Eco,2260,1,0,1,4,4,1,4,4,3,4,2,3,1,4,0,0
0,Male,Loyal Customer,14,Personal Travel,Eco,1752,1,0,1,4,4,1,4,4,1,3,3,1,1,4,0,0
0,Male,Loyal Customer,30,Personal Travel,Eco Plus,2042,1,0,1,4,1,1,1,1,4,3,4,4,3,1,0,0
0,Male,Loyal Customer,14,Personal Travel,Eco,1956,1,0,1,4,4,1,4,4,5,4,4,4,5,4,39,37
0,Male,Loyal Customer,52,Personal Travel,Eco,1460,1,0,1,4,2,1,2,2,3,2,5,3,4,2,0,0
0,Male,Loyal Customer,56,Personal Travel,Eco,2293,1,0,1,4,4,1,4,4,3,4,5,5,4,4,0,0
0,Male,Loyal Customer,67,Personal Travel,Eco,2255,1,0,1,4,5,1,5,5,4,2,5,3,4,5,1,1
0,Male,Loyal Customer,34,Personal Travel,Eco,2034,1,0,1,4,4,1,5,4,5,4,5,3,4,4,0,0
0,Male,Loyal Customer,50,Personal Travel,Eco,1922,1,0,1,4,4,1,4,4,5,4,5,4,4,4,19,29
0,Male,Loyal Customer,52,Personal Travel,Eco,1265,1,0,1,4,4,1,4,4,5,5,5,5,4,4,0,0
0,Male,Loyal Customer,18,Personal Travel,Eco Plus,1639,1,0,1,4,2,1,2,2,1,2,4,1,4,2,3,25
0,Male,Loyal Customer,50,Personal Travel,Eco,2936,1,0,1,5,3,1,3,3,4,3,3,1,3,3,1,4
0,Male,Loyal Customer,11,Personal Travel,Eco,2983,1,0,1,5,4,1,3,4,3,5,5,3,4,4,0,0
0,Male,Loyal Customer,21,Personal Travel,Eco,3295,1,0,1,5,5,1,5,5,3,3,4,5,5,5,0,29
0,Male,Loyal Customer,22,Personal Travel,Eco,2307,1,0,1,5,1,1,1,1,3,5,4,3,4,1,0,0
0,Male,Loyal Customer,49,Personal Travel,Eco,1810,1,0,1,5,1,1,1,1,3,2,5,3,5,1,0,2
0,Male,Loyal Customer,24,Personal Travel,Eco,1496,1,0,1,5,1,1,1,1,1,4,4,5,1,1,9,10
0,Male,Loyal Customer,18,Personal Travel,Eco,1592,1,0,1,5,2,1,4,2,5,4,5,3,5,2,0,1
0,Male,Loyal Customer,31,Personal Travel,Business,1343,1,0,1,5,4,1,4,4,5,5,1,1,3,4,0,0
0,Male,Loyal Customer,58,Personal Travel,Eco,1013,1,0,1,5,3,1,3,3,5,4,4,5,5,3,6,4
0,Male,Loyal Customer,44,Personal Travel,Business,2051,1,0,1,5,1,5,5,4,2,5,5,5,5,5,83,142
0,Male,Loyal Customer,28,Personal Travel,Eco,1171,1,0,2,1,3,2,3,3,3,4,5,5,5,3,25,27
0,Male,Loyal Customer,23,Personal Travel,Eco,3839,1,0,2,3,2,2,2,4,1,3,5,2,4,2,0,0
0,Male,Loyal Customer,31,Personal Travel,Eco,1850,1,0,2,3,5,2,5,5,3,3,4,4,5,5,0,0
0,Male,Loyal Customer,57,Personal Travel,Eco,1595,1,0,2,4,4,2,4,4,5,2,5,3,4,4,0,0
0,Male,Loyal Customer,53,Personal Travel,Eco,1961,1,0,2,5,1,2,1,1,4,4,4,4,5,1,10,0
0,Male,Loyal Customer,22,Personal Travel,Eco,1453,1,0,3,2,3,3,3,3,3,5,5,4,5,3,0,0
0,Male,Loyal Customer,66,Personal Travel,Eco,1190,1,0,3,2,3,3,3,3,5,5,4,5,5,3,0,0
0,Male,Loyal Customer,10,Personal Travel,Eco Plus,1168,1,0,4,5,2,4,2,2,4,3,5,5,5,2,0,0
0,Male,Loyal Customer,59,Personal Travel,Eco,1918,1,0,5,3,5,5,5,5,2,2,2,3,1,5,0,0
0,Male,Loyal Customer,69,Personal Travel,Eco,3860,1,1,0,1,4,0,4,4,2,3,1,1,2,4,1,0
0,Male,Loyal Customer,28,Personal Travel,Eco,2017,1,1,0,1,2,0,2,2,1,2,1,4,2,2,0,0
0,Male,Loyal Customer,27,Personal Travel,Eco,1648,1,1,0,1,5,0,2,5,2,1,1,1,1,5,9,17
0,Male,Loyal Customer,34,Personal Travel,Eco,2511,1,1,0,2,4,0,4,4,2,1,2,1,2,4,37,23
0,Male,Loyal Customer,40,Personal Travel,Eco,3132,1,1,0,2,0,4,4,3,4,3,2,4,4,4,205,210
0,Male,Loyal Customer,40,Personal Travel,Eco,2316,1,1,0,2,3,0,3,3,2,2,2,1,2,3,62,63
0,Male,Loyal Customer,56,Personal Travel,Business,617,1,1,0,2,5,1,2,4,4,0,4,4,4,4,17,4
0,Male,Loyal Customer,23,Personal Travel,Eco,2267,1,1,0,3,4,0,4,4,1,2,2,3,3,4,46,59
0,Male,Loyal Customer,21,Personal Travel,Eco Plus,2736,1,1,0,3,4,0,4,4,2,4,4,1,3,4,0,0
0,Male,Loyal Customer,58,Personal Travel,Eco,2968,1,1,0,3,5,0,5,5,3,4,4,3,3,5,9,22
0,Male,Loyal Customer,46,Personal Travel,Eco,2642,1,1,0,3,3,0,3,3,3,4,4,1,3,3,0,0
0,Male,Loyal Customer,58,Personal Travel,Eco,2087,1,1,0,3,2,0,2,2,4,2,2,3,3,2,66,87
0,Male,Loyal Customer,42,Personal Travel,Eco,1823,1,1,0,3,1,0,1,1,1,2,3,4,4,1,0,5
0,Male,Loyal Customer,21,Personal Travel,Eco,1606,1,1,0,3,2,0,2,2,4,1,3,1,4,2,54,48
0,Male,Loyal Customer,39,Personal Travel,Eco,1446,1,1,0,3,5,0,5,5,4,2,3,2,2,5,0,5
0,Male,Loyal Customer,13,Personal Travel,Eco Plus,2148,1,1,0,3,1,0,1,1,3,2,2,3,3,1,2,1
0,Male,Loyal Customer,63,Personal Travel,Eco,1332,1,1,0,3,5,0,5,5,1,4,2,1,2,5,0,0
0,Male,Loyal Customer,57,Personal Travel,Eco,1937,1,1,0,3,5,0,3,5,4,3,3,2,3,5,0,26
0,Male,Loyal Customer,47,Personal Travel,Eco,1891,1,1,0,3,1,0,1,1,2,3,4,4,3,1,0,3
0,Male,Loyal Customer,35,Personal Travel,Eco,3533,1,1,0,4,2,0,2,2,2,3,3,4,4,2,0,0
0,Male,Loyal Customer,21,Personal Travel,Eco,3050,1,1,0,4,5,0,5,5,4,1,4,2,4,5,40,12
0,Male,Loyal Customer,28,Personal Travel,Eco,1892,1,1,0,4,5,0,5,5,4,2,4,4,3,5,0,0
0,Male,Loyal Customer,9,Personal Travel,Eco,2643,1,1,0,4,4,0,4,4,4,4,4,1,3,4,15,8
0,Male,Loyal Customer,65,Personal Travel,Eco,1979,1,1,0,4,2,0,2,2,4,5,3,3,3,2,0,0
0,Male,Loyal Customer,12,Personal Travel,Eco,1931,1,1,0,4,4,0,2,4,1,5,3,3,4,4,5,11
0,Male,Loyal Customer,49,Personal Travel,Eco,1593,1,1,0,4,4,0,4,4,2,2,3,3,4,4,0,0
0,Male,Loyal Customer,48,Personal Travel,Eco,4001,1,1,1,1,1,1,1,1,4,1,1,4,2,1,16,0
0,Male,Loyal Customer,48,Personal Travel,Eco,3980,1,1,1,1,4,1,4,4,2,3,2,3,2,4,0,0
0,Male,Loyal Customer,40,Personal Travel,Eco,2251,1,1,1,1,1,1,1,1,3,3,2,1,1,1,0,8
0,Male,Loyal Customer,46,Personal Travel,Eco,2453,1,1,1,1,3,1,5,3,1,4,1,2,2,3,3,15
0,Male,Loyal Customer,63,Personal Travel,Eco,2011,1,1,1,1,5,1,5,5,1,5,2,1,2,5,25,25
0,Male,Loyal Customer,28,Personal Travel,Eco,1965,1,1,1,1,5,1,5,5,3,2,1,3,2,5,10,7
0,Male,Loyal Customer,41,Personal Travel,Eco,2471,1,1,1,1,5,1,5,5,2,1,2,3,2,5,0,0
0,Male,Loyal Customer,13,Personal Travel,Eco,1647,1,1,1,1,3,1,3,3,3,4,1,2,1,3,39,18
0,Male,Loyal Customer,29,Personal Travel,Eco,2214,1,1,1,1,4,1,3,4,3,2,2,2,1,4,0,0
0,Male,Loyal Customer,45,Personal Travel,Eco,2172,1,1,1,1,2,1,2,2,1,5,1,1,2,2,6,3
0,Male,Loyal Customer,47,Personal Travel,Eco,2036,1,1,1,1,4,1,4,4,4,3,2,2,2,4,0,0
0,Male,Loyal Customer,60,Personal Travel,Business,326,1,1,1,1,4,1,2,4,4,1,4,3,4,2,2,0
0,Male,Loyal Customer,49,Personal Travel,Eco,1785,1,1,1,1,5,1,5,5,3,2,2,3,2,5,1,0
0,Male,Loyal Customer,23,Personal Travel,Eco,2135,1,1,1,1,1,3,4,3,4,2,1,4,1,4,265,245
0,Male,Loyal Customer,33,Personal Travel,Eco Plus,949,1,1,1,1,4,1,4,4,1,1,1,3,1,4,23,42
0,Male,Loyal Customer,54,Personal Travel,Eco Plus,4088,1,1,1,2,2,1,2,2,3,4,2,4,2,2,16,0
0,Male,Loyal Customer,46,Personal Travel,Eco,3202,1,1,1,2,4,1,2,4,1,2,3,4,3,4,0,0
0,Male,Loyal Customer,17,Personal Travel,Eco,3828,1,1,1,2,5,1,5,5,1,5,1,2,2,5,52,49
0,Female,Loyal Customer,24,Personal Travel,Eco Plus,3288,1,1,1,2,1,3,3,2,1,1,1,3,3,3,201,208
0,Male,Loyal Customer,61,Personal Travel,Eco,2821,1,1,1,2,5,1,3,5,2,1,1,3,2,5,0,7
0,Male,Loyal Customer,51,Personal Travel,Business,1561,1,1,1,2,1,2,3,4,4,1,3,1,4,2,5,0
0,Male,Loyal Customer,33,Personal Travel,Eco,2878,1,1,1,2,5,1,5,5,1,1,2,3,2,5,0,0
0,Male,Loyal Customer,25,Personal Travel,Eco,2724,1,1,1,2,4,1,4,4,1,5,3,3,3,4,0,0
0,Male,Loyal Customer,20,Personal Travel,Eco,3389,1,1,1,2,1,1,1,1,2,5,3,1,3,1,1,0
0,Male,Loyal Customer,29,Personal Travel,Eco,2919,1,1,1,2,4,1,5,4,3,1,3,2,3,4,6,3
0,Male,Loyal Customer,41,Personal Travel,Eco,2786,1,1,1,2,5,1,5,5,4,2,3,3,2,5,18,8
0,Male,Loyal Customer,18,Personal Travel,Eco,2953,1,1,1,2,2,1,1,2,2,5,1,3,3,2,10,7
0,Male,Loyal Customer,60,Personal Travel,Eco Plus,3010,1,1,1,2,3,1,3,3,4,3,2,1,2,3,4,26
0,Male,Loyal Customer,63,Personal Travel,Eco,3260,1,1,1,2,3,1,3,3,3,1,3,2,2,3,0,0
0,Male,Loyal Customer,70,Personal Travel,Eco,2884,1,1,1,2,1,1,1,1,3,1,1,1,2,1,0,0
0,Male,Loyal Customer,19,Personal Travel,Business,2345,1,1,1,2,1,1,1,1,2,3,1,3,2,1,20,16
0,Male,Loyal Customer,57,Personal Travel,Eco,2219,1,1,1,2,1,1,2,1,2,4,1,4,1,1,0,0
0,Male,Loyal Customer,52,Personal Travel,Eco,2175,1,1,1,2,5,1,5,5,1,1,2,2,2,5,0,0
0,Male,Loyal Customer,21,Personal Travel,Eco,1999,1,1,1,2,4,1,4,4,5,5,5,5,5,4,0,3
0,Male,Loyal Customer,53,Personal Travel,Eco Plus,1957,1,1,1,2,2,1,4,2,2,5,2,4,3,2,0,0
0,Male,Loyal Customer,26,Personal Travel,Business,1774,1,1,1,2,4,1,4,4,3,2,1,2,2,4,22,38
0,Male,Loyal Customer,40,Personal Travel,Eco Plus,2546,1,1,1,2,5,1,5,5,1,1,2,4,3,5,20,18
0,Male,Loyal Customer,9,Personal Travel,Eco,1800,1,1,1,2,2,1,4,2,4,5,3,3,2,2,23,17
0,Male,Loyal Customer,25,Personal Travel,Eco,2348,1,1,1,2,5,1,5,5,4,2,2,3,3,5,2,0
0,Male,Loyal Customer,53,Personal Travel,Eco Plus,2098,1,1,1,2,3,1,3,3,4,4,3,2,3,3,0,0
0,Male,Loyal Customer,25,Personal Travel,Eco Plus,1966,1,1,1,2,3,1,3,3,3,4,3,1,2,3,0,0
0,Male,Loyal Customer,41,Personal Travel,Eco,2351,1,1,1,2,2,1,2,2,1,2,3,2,2,2,25,32
0,Male,Loyal Customer,56,Personal Travel,Eco,2133,1,1,1,2,4,1,4,4,3,4,2,2,2,4,3,0
0,Male,Loyal Customer,48,Personal Travel,Eco Plus,1792,1,1,1,2,4,1,4,4,1,4,2,4,2,4,12,22
0,Male,Loyal Customer,64,Personal Travel,Eco,1542,1,1,1,2,2,1,2,2,4,4,2,3,2,2,0,0
0,Male,Loyal Customer,69,Personal Travel,Eco,2390,1,1,1,2,4,1,4,4,3,5,3,3,2,4,0,0
0,Male,Loyal Customer,67,Personal Travel,Eco,1624,1,1,1,2,4,1,4,4,3,4,1,2,3,4,0,0
0,Male,Loyal Customer,12,Personal Travel,Eco,2197,1,1,1,2,2,1,2,2,4,3,3,1,2,2,0,18
0,Male,Loyal Customer,38,Personal Travel,Eco,1283,1,1,1,2,1,1,5,1,4,4,1,2,1,1,18,22
0,Male,Loyal Customer,38,Personal Travel,Eco,2263,1,1,1,2,4,1,4,4,1,3,2,2,2,4,0,0
0,Female,Loyal Customer,21,Personal Travel,Eco,1960,1,1,1,2,1,2,4,3,4,2,3,4,3,4,315,297
0,Male,Loyal Customer,55,Personal Travel,Business,391,1,1,1,2,3,1,2,1,1,1,1,3,1,2,0,0
0,Male,Loyal Customer,58,Personal Travel,Eco,1770,1,1,1,2,2,1,2,2,1,1,2,1,1,2,0,0
0,Male,Loyal Customer,29,Personal Travel,Eco Plus,1495,1,1,1,2,4,1,4,4,3,2,3,4,2,4,0,0
0,Male,Loyal Customer,22,Personal Travel,Eco,2224,1,1,1,2,3,1,3,3,4,3,2,1,2,3,0,0
0,Male,Loyal Customer,23,Personal Travel,Eco,1897,1,1,1,2,3,1,3,3,4,3,2,1,3,3,22,55
0,Male,Loyal Customer,70,Personal Travel,Eco,1646,1,1,1,2,1,1,1,1,3,5,2,4,3,1,0,0
0,Male,Loyal Customer,17,Personal Travel,Eco,1133,1,1,1,2,3,1,3,3,4,4,2,3,1,3,1,0
0,Male,Loyal Customer,12,Personal Travel,Eco,1485,1,1,1,2,4,1,4,4,4,5,2,1,3,4,0,0
0,Male,Loyal Customer,64,Personal Travel,Eco,1013,1,1,1,2,4,1,4,4,4,5,3,1,3,4,0,2
0,Male,Loyal Customer,30,Personal Travel,Eco Plus,1243,1,1,1,2,4,1,5,4,1,4,3,4,3,4,0,0
0,Male,Loyal Customer,57,Personal Travel,Eco,1389,1,1,1,2,1,1,1,1,2,1,2,3,2,1,0,0
0,Male,Loyal Customer,60,Personal Travel,Eco,1148,1,1,1,2,4,1,2,4,1,3,3,1,3,4,0,14
0,Male,Loyal Customer,11,Personal Travel,Eco,1330,1,1,1,2,3,1,3,3,4,3,2,4,3,3,4,8
0,Male,Loyal Customer,48,Personal Travel,Eco,1426,1,1,1,2,4,1,2,4,4,2,1,2,1,4,10,18
0,Male,Loyal Customer,32,Personal Travel,Eco,955,1,1,1,2,3,1,3,3,1,4,3,1,3,3,39,36
0,Male,Loyal Customer,35,Personal Travel,Eco,6470,1,1,1,3,1,3,3,1,2,2,2,3,2,3,0,32
0,Female,Loyal Customer,38,Personal Travel,Eco,5322,1,1,1,3,1,4,4,2,4,2,2,4,2,4,0,0
0,Male,Loyal Customer,23,Personal Travel,Eco,4650,1,1,1,3,2,1,2,2,1,3,4,4,4,2,0,
0,Male,Loyal Customer,53,Personal Travel,Eco,4051,1,1,1,3,3,1,1,3,2,3,3,3,3,3,0,0
0,Male,Loyal Customer,59,Personal Travel,Eco,4195,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2
0,Male,Loyal Customer,51,Personal Travel,Eco,3937,1,1,1,3,5,1,5,5,2,1,3,4,3,5,12,12
0,Male,Loyal Customer,61,Personal Travel,Eco,3800,1,1,1,3,4,1,4,4,2,4,3,3,4,4,4,0
0,Male,Loyal Customer,9,Personal Travel,Eco Plus,3858,1,1,1,3,1,1,5,1,1,2,3,1,3,1,6,15
0,Male,Loyal Customer,53,Personal Travel,Eco Plus,3577,1,1,1,3,2,1,2,2,4,5,3,4,2,2,9,0
0,Male,Loyal Customer,38,Personal Travel,Eco,3189,1,1,1,3,5,1,5,5,3,3,3,1,4,5,0,0
0,Male,Loyal Customer,51,Personal Travel,Eco,3757,1,1,1,3,3,1,3,3,2,2,2,4,2,3,0,0
0,Male,Loyal Customer,50,Personal Travel,Eco,2987,1,1,1,3,1,1,1,1,4,2,3,1,2,1,0,12
0,Male,Loyal Customer,50,Personal Travel,Eco,2702,1,1,1,3,3,1,1,3,1,5,4,3,4,3,10,17
0,Male,Loyal Customer,70,Personal Travel,Eco,3110,1,1,1,3,2,1,2,2,1,4,3,3,4,2,0,0
0,Male,Loyal Customer,22,Personal Travel,Eco,2850,1,1,1,3,1,1,1,1,2,5,4,1,3,1,0,9
0,Male,Loyal Customer,60,Personal Travel,Eco,2577,1,1,1,3,3,1,3,3,3,5,2,4,3,3,58,37
0,Male,Loyal Customer,65,Personal Travel,Eco,2689,1,1,1,3,4,1,4,4,4,4,3,2,2,4,1,0
0,Male,Loyal Customer,70,Personal Travel,Eco,2605,1,1,1,3,3,1,3,3,1,2,2,4,4,3,0,0
0,Male,Loyal Customer,30,Personal Travel,Eco Plus,2817,1,1,1,3,1,1,1,1,3,1,2,2,4,1,0,0
0,Male,Loyal Customer,41,Personal Travel,Eco,3324,1,1,1,3,4,1,4,4,4,3,1,4,2,4,0,0
0,Male,Loyal Customer,48,Personal Travel,Eco,2583,1,1,1,3,2,1,2,2,4,4,4,3,4,2,0,0
0,Male,Loyal Customer,39,Personal Travel,Eco,2711,1,1,1,3,4,1,4,4,2,4,3,4,2,4,0,0
0,Male,Loyal Customer,18,Personal Travel,Eco,2649,1,1,1,3,5,1,4,5,3,3,4,4,4,5,122,105
0,Male,Loyal Customer,16,Personal Travel,Eco,2548,1,1,1,3,3,1,1,3,1,3,3,1,3,3,15,0
0,Male,Loyal Customer,27,Personal Travel,Eco,3220,1,1,1,3,1,1,1,1,4,1,3,2,3,1,0,12
0,Female,Loyal Customer,37,Personal Travel,Eco,3317,1,1,1,3,1,4,4,2,1,4,4,4,2,4,231,250
0,Male,Loyal Customer,7,Personal Travel,Eco,2226,1,1,1,3,1,1,2,1,2,3,2,4,3,1,0,0
0,Male,Loyal Customer,18,Personal Travel,Eco,2380,1,1,1,3,3,1,5,3,2,3,2,4,2,3,0,0
0,Male,Loyal Customer,41,Personal Travel,Eco,2320,1,1,1,3,5,1,5,5,3,3,3,2,3,5,3,3
0,Male,Loyal Customer,67,Personal Travel,Eco,2124,1,1,1,3,1,1,1,1,2,1,3,3,2,1,0,0
0,Male,Loyal Customer,37,Personal Travel,Eco,2710,1,1,1,3,1,1,1,1,1,2,2,3,3,1,0,0
0,Male,Loyal Customer,32,Personal Travel,Eco Plus,2720,1,1,1,3,4,1,4,4,1,2,2,1,2,4,0,0
0,Male,Loyal Customer,14,Personal Travel,Eco,2671,1,1,1,3,3,1,3,3,1,1,3,1,2,3,16,51
